"review_id","scored_cat","scored_cat_id","score","completed_at","movie","genre","reviewer_id","review_type","gender_identity","age_group","sexuality"
10001,"Message",25,9,"2020-01-01 22:28:30","The Great Escape Plan","Comedy",1054,"Paid Reviewer","Prefer not to say","45 to 54",NA
10001,"Subplots",37,7,"2020-01-01 22:28:30","The Great Escape Plan","Comedy",1054,"Paid Reviewer","Prefer not to say","45 to 54",NA
10001,"Originality",28,8,"2020-01-01 22:28:30","The Great Escape Plan","Comedy",1054,"Paid Reviewer","Prefer not to say","45 to 54",NA
10001,"World-Building",46,10,"2020-01-01 22:28:30","The Great Escape Plan","Comedy",1054,"Paid Reviewer","Prefer not to say","45 to 54",NA
10001,"Suspense",38,7,"2020-01-01 22:28:30","The Great Escape Plan","Comedy",1054,"Paid Reviewer","Prefer not to say","45 to 54",NA
10001,"Visual Style",45,10,"2020-01-01 22:28:30","The Great Escape Plan","Comedy",1054,"Paid Reviewer","Prefer not to say","45 to 54",NA
10002,"Cinematic Techniques",8,5,"2020-01-04 22:37:55","The Great Heist of 2025","Action",1269,"Paid Reviewer","Man","25 to 34","Heterosexual"
10002,"Screenplay",34,10,"2020-01-04 22:37:55","The Great Heist of 2025","Action",1269,"Paid Reviewer","Man","25 to 34","Heterosexual"
10002,"Character Flaws",6,NA,"2020-01-04 22:37:55","The Great Heist of 2025","Action",1269,"Paid Reviewer","Man","25 to 34","Heterosexual"
10002,"World-Building",46,5,"2020-01-04 22:37:55","The Great Heist of 2025","Action",1269,"Paid Reviewer","Man","25 to 34","Heterosexual"
10002,"Costume Design",13,6,"2020-01-04 22:37:55","The Great Heist of 2025","Action",1269,"Paid Reviewer","Man","25 to 34","Heterosexual"
10002,"Cinematographic Techniques",9,8,"2020-01-04 22:37:55","The Great Heist of 2025","Action",1269,"Paid Reviewer","Man","25 to 34","Heterosexual"
10003,"Message",25,2,"2020-01-07 09:35:05","A Day in Paradise","Comedy",1236,"Critic","Man","35 to 44","Heterosexual"
10003,"Emotional Impact",19,2,"2020-01-07 09:35:05","A Day in Paradise","Comedy",1236,"Critic","Man","35 to 44","Heterosexual"
10003,"World-Building",46,3,"2020-01-07 09:35:05","A Day in Paradise","Comedy",1236,"Critic","Man","35 to 44","Heterosexual"
10003,"Storyline",36,6,"2020-01-07 09:35:05","A Day in Paradise","Comedy",1236,"Critic","Man","35 to 44","Heterosexual"
10003,"Viewer Engagement",41,4,"2020-01-07 09:35:05","A Day in Paradise","Comedy",1236,"Critic","Man","35 to 44","Heterosexual"
10003,"Conflict Resolution",12,1,"2020-01-07 09:35:05","A Day in Paradise","Comedy",1236,"Critic","Man","35 to 44","Heterosexual"
